Time	SegmentThrp	EstimateThrp	Bitrate	Buffer	Data	RTT	DataTm	DelayTm
1.7	3062.426384	0.000000	2600	16.2	634	0.033	1.665	0.000	
3.8	2514.405448	3062.426384	2400	16.1	1220	0.036	1.873	0.200	
5.1	3352.891869	2514.405448	2000	16.8	1708	0.035	1.158	0.100	
7.3	3235.294118	3352.891869	2200	16.6	2246	0.034	1.326	0.800	
9.3	3319.502075	3235.294118	2400	16.6	2832	0.034	1.412	0.600	
11.5	3268.384664	3319.502075	2600	16.4	3466	0.035	1.556	0.600	
13.5	3346.203346	3268.384664	2600	16.4	4101	0.035	1.519	0.400	
15.5	3262.233375	3346.203346	2600	16.4	4736	0.035	1.559	0.400	
17.5	3316.326531	3262.233375	2600	16.4	5371	0.034	1.534	0.400	
19.5	3268.384664	3316.326531	2600	16.4	6005	0.035	1.556	0.400	
21.4	3318.442884	3268.384664	2600	16.5	6640	0.035	1.532	0.400	
23.4	3322.683706	3318.442884	2600	16.5	7275	0.034	1.531	0.400	
25.5	3299.492386	3322.683706	2600	16.4	7910	0.036	1.540	0.500	
27.7	2869.757174	3299.492386	2600	16.2	8544	0.034	1.778	0.400	
29.7	2443.087174	2869.757174	2200	16.2	9082	0.035	1.766	0.200	
31.3	2698.650675	2443.087174	1800	16.6	9521	0.034	1.300	0.200	
33.3	2766.251729	2698.650675	2000	16.6	10009	0.035	1.411	0.600	
35.4	3049.203049	2766.251729	2200	16.5	10546	0.036	1.407	0.600	
37.3	3271.983640	3049.203049	2400	16.6	11132	0.034	1.433	0.500	
39.5	3291.139241	3271.983640	2600	16.4	11767	0.034	1.546	0.600	
41.5	3301.587302	3291.139241	2600	16.4	12402	0.035	1.540	0.400	
43.5	3282.828283	3301.587302	2600	16.4	13037	0.035	1.549	0.400	
45.5	3339.755941	3282.828283	2600	16.4	13671	0.036	1.521	0.400	
47.4	3329.065301	3339.755941	2600	16.5	14306	0.033	1.529	0.400	
49.5	3235.843186	3329.065301	2600	16.4	14941	0.035	1.572	0.500	
51.4	3387.438250	3235.843186	2400	16.5	15527	0.035	1.382	0.400	
53.4	3320.561941	3387.438250	2600	16.5	16162	0.032	1.534	0.500	
55.5	3303.684879	3320.561941	2600	16.4	16796	0.034	1.540	0.500	
57.5	3299.492386	3303.684879	2600	16.4	17431	0.034	1.542	0.400	
59.5	3322.683706	3299.492386	2600	16.4	18066	0.035	1.530	0.400	
61.5	3303.684879	3322.683706	2600	16.4	18701	0.034	1.540	0.400	
63.7	2884.082085	3303.684879	2600	16.2	19335	0.035	1.768	0.400	
65.6	2534.562212	2884.082085	2200	16.3	19873	0.036	1.700	0.200	
67.5	2557.544757	2534.562212	2000	16.4	20361	0.035	1.529	0.300	
69.8	2109.704641	2557.544757	2000	16.1	20849	0.038	1.858	0.400	
71.3	2222.222222	2109.704641	1600	16.6	21240	0.036	1.404	0.100	
73.4	2101.116218	2222.222222	1600	16.5	21630	0.036	1.487	0.600	
75.5	1895.734597	2101.116218	1600	16.4	22021	0.036	1.652	0.400	
77.6	1729.462631	1895.734597	1400	16.3	22363	0.038	1.581	0.400	
78.9	2341.463415	1729.462631	1200	17.0	22656	0.035	0.990	0.300	
81.0	2488.888889	2341.463415	1400	16.9	22998	0.035	1.090	1.000	
83.2	2605.863192	2488.888889	1600	16.7	23388	0.036	1.192	0.900	
85.6	2142.857143	2605.863192	1800	16.3	23828	0.035	1.645	0.700	
89.1	980.392157	2142.857143	1600	14.8	24218	0.039	3.225	0.300	
91.4	533.570476	980.392157	600	14.5	24365	0.055	2.194	0.000	
93.3	427.122264	533.570476	400	14.6	24462	0.050	1.823	0.000	
94.8	260.586319	427.122264	200	15.1	24511	0.106	1.429	0.000	
96.6	217.037439	260.586319	200	15.3	24560	0.078	1.765	0.000	
97.7	366.300366	217.037439	200	16.2	24609	0.122	0.970	0.000	
98.7	481.347774	366.300366	200	17.2	24658	0.058	0.773	0.100	
100.2	1498.127341	481.347774	200	17.7	24707	0.039	0.228	1.200	
102.6	1185.185185	1498.127341	400	17.3	24804	0.040	0.635	1.700	
105.2	904.295403	1185.185185	600	16.7	24951	0.045	1.282	1.300	
107.2	965.406275	904.295403	600	16.7	25097	0.044	1.199	0.700	
109.1	960.768615	965.406275	600	16.8	25244	0.044	1.205	0.700	
111.4	828.157350	960.768615	600	16.5	25390	0.046	1.403	0.800	
113.2	927.357032	828.157350	600	16.7	25537	0.044	1.250	0.500	
115.4	814.111262	927.357032	600	16.5	25683	0.047	1.427	0.700	
117.1	988.467875	814.111262	600	16.8	25830	0.044	1.170	0.500	
119.0	1074.306177	988.467875	600	16.9	25976	0.043	1.074	0.800	
121.6	951.814396	1074.306177	800	16.3	26171	0.041	1.640	0.900	
124.5	459.242250	951.814396	600	15.4	26318	0.060	2.553	0.300	
125.1	631.911532	459.242250	200	16.8	26367	0.056	0.577	0.000	
127.1	665.557404	631.911532	400	16.8	26464	0.050	1.152	0.700	
129.4	524.934383	665.557404	400	16.5	26562	0.056	1.468	0.800	
131.6	469.208211	524.934383	400	16.3	26660	0.059	1.646	0.500	
